nombre,direccion,email,web
Artefacto,Sarandi 760,artefacto@ciudad.com.ar,
El Cuervo,Santiago del Estero 433,,
Laboratorio de Teatro Danza Susana Zimmermann,Sanchez de Bustamente 2156,,
Globo Bs. As.,Sanchez de Bustamante 764,,
La Almohada,Sanchez de Bustamante 728,almohada@syncia.com.ar,
El Porton de Sanchez,Sanchez de Bustamante 1034,portondesanchez@hotmail.com,
Payro,San Martin 766,teatropayro@sion.com,
Grupo de Teatro Comunitario Boedo Antiguo,San Juan 3255/57,grupodeteatroboedoantiguo@yahoo.com.ar,
El Lavapies Teatro,San Jose 546,,http://www.lavapiesteatro.blogspot.com
Club de Las Artes,Salta 745,,
El Vitral,Rodriguez Peña 344,elvitral@yahoo.com,www.teatroelvitral.com.ar
Homero Carpena,Rodriguez Peña 262,,
Casa Suiza,Rodriguez Peña 254,,
La Comedia 1 Y 2,Rodriguez Peña 1062 / 1074,info@lacomedia.com.ar,www.lacomedia.com.ar
El Teatro de Flores,Rivera Indarte 129,info@elteatrodeflores.com.ar,
Gran Rivadavia,Rivadavia 8636,,
El Bululu,Rivadavia 1350,bululuhumor@hotmail.com,www.bululuteatro.com.ar
Lo de Guidi,Riobamba 359,lodeguidi@yahoo.com,
Asociacion Amigos del Villa Luro,Ramon L Falcon 5177,,
Espacio Cultural C.E.I.A.C,Ramon Freire 1658,,
Auditorio San Rafael -C.Cult.San Rafael,Ramallo 2606,,
Ana Itelman,Quito 3941,cdrut@sinectis.com.ar,
Quintino Espacio Cultural,Quintino Bocayuva 548,lucianocaceres@hotmail.com,
I.M.P.A. La Fabrica,Querandies 4290,impacoop@speedy.com.ar; lafabricaciudadcultural@infovia.com.ar,
Mantis Club,Pringles 753,,
Palais de Glace,Posadas 1725,,http://www.palaisdeglace.org/
La Scala de San Telmo,Pje. Giuffra 371,scala@lascala.com.ar,www.lascala.org.ar
Carlos Trigo,Pje La Selva 4022,larunfla@arnet.com.ar; cclaselva@arnet.com.ar; javiergimenezar@yahoo.com.ar,
El Picadero,Pje Enrique Santos Discepolo 1847,fundacionpicadero@yahoo.com.ar,
Espacio Abierto,Pje Carabelas 255,roxana-randon@arnet.com.ar,www.roxanarandon.com.ar
La Mascara,Piedras 736,teatromascara@latinmail.com; norbertogonzalo@yahoo.com.ar,www.lamascarateatro.com.ar
Museo Argentino del Titere,Piedras 905,,http://www.museoargdeltitere.com.ar/sitio/
El Victorial,Piedras 722,,http://www.elvictorial.com.ar/
Luz Y Fuerza,Peru 823,marceloripoli@yahoo.com.ar,
Celcit,Peru 635,correo@celcit.org.ar,www.celcit.org.ar
Arlequines,Peru 571,,
La Manzana de Las Luces,Peru 272,,
Auditorio Amia - Asociacion Amigos de La Daia,Pasteur 633,cultura@amia.org.ar,
Apacheta,Pasco 623,apachetasalaestudio@gmail.com,
El Fino Espacio Escenico,Parana 673,elfino@ciudad.com.ar,www.teatroelfino.com
Andamio 90,Parana 660,info@andamio90.org; samek@andamio90.org,
Ateneo,Paraguay 918,nuevadir@grupoalsur.com.ar,www.ndateneo.com.ar
Palermo,Paraguay 4229,torchiaet@fullzero.com.ar,
Paternal Teatro,Nicolas Repetto 1556,,
Centro Cultural Tadron,Niceto Vega 4802,tadronargentina@yahoo.com.ar,
Chacarerean Teatre,Nicaragua 5565,zarlek@zarlek.com.ar; skramarz@cponline.org.ar,www.chacarereanteatre.com.ar
Grupo de Teatro Alma Mate de Flores,Nazca Y Gaona,almamate@hotmail.com / pierrot@sinectis.com.ar,www.almamate.4t.com
Museo Etnografico,Moreno 350,info.museo@filo.uba.ar,/www.museoetnografico.filo.uba.ar
Santa Maria del Buen Ayre,Montevideo 842,teatrosantamaria@radar.com.ar,
El Atajo,Montañeses 1977,cursos@teatroelatajo.com.ar,/www.teatroelatajo.com.ar/
Auditorio Asociacion Italiana de Belgran,Moldes 2155,,www.asociacionitaliana.com.ar
Grupo de Teatro Comunitario El Epico de Floresta,Miranda Y Mercedes,elepicodefloresta@yahoo.com.ar /elepicodefloresta@rcc.com.r,www.elepicodefloresta.com.ar
Grupo Los Villurqueros,Miller 2751,villurqueros@yahoo.com.ar,
Encuentro,Mexico 3700,vivencuentro@ciudad.com.ar,
El Desguace Teatro Y Almacen Cultural,Mexico 3694,,
La Usina de Balvanera,Mexico 2993,lausinateatro@hotmail.com; lausinateatro@yahoo.com.ar,
Centro Cultural La Estrada,Mexico 2849,,
Caliban,Mexico 1428,normanbriski@gmail.com,
La Rancheria,Mexico 1152,leogolo@arnet.com.ar,www.teatrolarancheria.com.ar
Las Mil Y Un Artes Centro Cultural,Medrano 645,,
Huella Club de Arte,Medrano 535,huellaclubdearte@yahoo.com.ar,
La Maravillosa Sala- Estudio,Medrano 1360,estudiolamaravillosa@uolsinectis.com.ar,www.lamaravillosa.com
El Camarin de Las Musas,Mario Bravo 960,elcamarin@house.com.ar,
Taller del Angel,Mario Bravo 1239,tallerdelangel@yahoo.com.ar,www.tallerdelangel.com.ar
La Biblioteca Cafe,Marcelo T. de Alvear 1155,,http://www.labibliotecacafe.com.ar
Coliseo,Marcelo T. de Alvear 1125,,http://www.fundacioncoliseum.com.ar/
Espacio Tbk,Manuel Trelles 2033,espaciotbk@gmail.com,www.espaciotbk.blogspot.com
Tuñon,Maipu 851,,
Bar Teatro Tuñon,Maipu 849,,
Grupo Matemurga de Villa Crespo,Luis Viale 654,matemurga@yahoo.com.ar,www.matemurga.com.ar
Botica del Angel,Luis Saenz Peña 541,,
Silencio de Negras,Luis Saenz PeñA 669,silenciodenegras@yahoo.com.ar,www.teatrosilenciodenegras.blogspot.com
Teatro Orfeo,Luis Maria Campos 1375,orfeoteatro@fullzero.com.ar,www.teatroorfeo.blogspot.com
Grupo de Teatro Comunitario de Mataderos Res O No Res,Lisandro de la Torre y Directorio,prensa@resonores.com.ar,www.resonores.com.ar
Patio de Actores,Lerma 568,patiodeactores@sinectis.com.ar,
El Excentrico de La 18,Lerma 420,exentrico@sednet.com.ar,www.elexcentricodela18.com.ar
Puerta Roja,Lavalle 3636,puerta_roja@yahoo.com.ar,
Club del Bufon,Lavalle 3175/7,clubdelbufon@hotmail.com,
Club de Amigos de La Vaca Profana-Altern,Lavalle 3683,,www.vacaprofana.com.ar
Cara a Cara,Lascano 2895,caraacara@ciudad.com.ar,www.teatrocaraacara.com.ar
Museo Larreta,Juramento 2291,museolarreta@buenosaires.gob.ar,www.museolarreta.buenosaires.gob.ar
Korinthio Teatro,Junin 380,korinthioteatro@hotmail.com,www.korinthioteatro.blogspot.com
Centro Cultural Recoleta,Junin 1930,,
Madera de Sueños,Jufre 375,,www.maderateatro.blogspot.com
Centro Cultural Teatro Fray Mocho,Juan Domingo Peron 3644,teatrofraymocho@infovia.com.ar,
La Escalera,Juan B. Justo 889,laescalera2002@hotmail.com,
El Aleph,Jose Bonifacio 2249/51,elaleph@fibertel.com.ar,
Gargantua,Jorge Newbery 3563,gargantua@arnet.com.ar,www.teatrogargantua.com.ar
La Guarida,Jorge Newbery 3519,,
Del Alero,Joaquin V. Gonzalez 4931,info@pybproducciones.com.ar; silvia@pybproducciones.com.ar,
Entre Casa,Jeronimo Salguero 666,,
Auditorio Ben Ami,Jean Jaures 746,,
Centro Cultural 20 de Diciembre,Ituzaingo 747,,
No Avestruz,Humboldt 1857,hola@noavestruz.com.ar,www.noavestruz.com.ar
"La Galera, Galpon de Arte",Humboldt 1591,lagalera@sion.com,www.lagaleraencantada.com.ar
Espacio Eclectico,Humberto Primo 730,info@espacioeclectico.com.ar,www.espacioeclectico.com.ar
Espacio Callejon,Humahuaca 3759,teatrocallejon@yahoo.com.ar,
Abasto Social Club,Humahuaca 3649,abastosocialclub@netizen.com.ar,www.abastosocialclub.com.ar
Del Abasto,Humahuaca 3549,,www.teatrodelabasto.com
Grupo de Teatro Comunitario de Pompeya,Homero Manzi Y Tabare,galibron@yahoo.com.ar / grupodeteatrocomunitariodepompeya@yahoo.com.ar,www.grupoteatropompeya.com.ar
Luisa Vehil,Hipolito Yrigoyen 3133,teatroluisavehil@yahoo.com.ar,www.teatroluisavehil.com
1/2 Mundo Club de Arte,Hipolito Yrigoyen 2148,olindolago@sinectis.com.ar,
Empire,Hipolito Yrigoyen 1934,teatroempire@hotmail.com,
La Salita,Hipolito Yrigoyen 1862,,www.teatrolasalita.com.ar
El Piso,Hidalgo Y Diaz Velez,,/www.elpiso878.com.ar
Ana Itelman,Guardia Vieja 3783,,
Beckett Teatro,Guardia Vieja 3556,teatrobeckett@gmail.com,www.teatrobeckett.com
Yupanqui,Guamini 4512,,
Codigo Montesco,Gorriti 3956,pablo.nin@gmail.com,
Velma Cafe,Gorriti 5520,,www.velmacafe.com.ar
La Otra Orilla,General Urquiza 124,gtl@fibertel.com.ar,
Aktuar,Gascon 1474,pablocarrasco38@argentina.com,
El Astrolabio Teatro,Gaona 1360,periplo@interar.com.ar,
La Tertulia,Gallo 826,latertulia@2vias.com.ar,
Dada,Gabriela Mistral 2359,dadaklu8@yahoo.com.ar,
Teatro En Flor,Francisco Acuña de Figueroa 330,teatroenflor@hotmail.com,
Teatro Piccolino,Fitz Roy 2056,,www.elpiccolino.com.ar
Casa Morena,Ferrari 335,morenacanterojrs@yahoo.com.ar,
Club de Trapecistas,Ferrari 252,info@clubdetrapecistas.com.ar,
Sentimiento,Federico Lacroze 4181,,
Cemento,Estados Unidos 1234,,
Tirso de Molina,Espinosa 1020,,
Maipo Y Maipo Club,Esmeralda 443,maipo@lpatalano.com.ar,www.maipo.com.ar
Entretelones Espacio Teatral,Enrique Martinez 1427,entretelonesteatro@hotmail.com,www.entretelonesteatro.com.ar
Ritualarte,El Maestro 22,,www.ritualarte.com.ar
El Carromato (Sala Movil),Echeverria 2083,chauchaff@hotmail.com,
Imagine,Don Bosco 3845,,
Teatro Absurdo Palermo,Dr. Emilio Ravignani 1557,absurdo.palermo@gmail.com,http://absurdopalermo.blogspot.com/
El Ojo En La Mano,Diaz Velez 3755,doloreset@fibertel.com.ar,
Oeste,Del Barco Centenera 141,,
Mimoteatro Escobar-Lerchundi,Defensa 611,mimoteatroescobarlerchundi@yah,
Centro Cultural Plaza Defensa,Defensa 535,ccplazadefensa@buenosaires.gov.ar,http://plazadefensa.blogspot.com/
El Galpon Multiespacio,Dean Funes 1267,,www.elgalponmultiespacio.com
Espacio K,Costa Rica 4968,espaciok@puertok.com.ar,
Teatro Taller El Grito,Costa Rica 5459,,www.teatroelgrito.com.ar
El Duende Teatro,Cordoba 2797,,
Del Pasillo,Colombres 35,delpasillo@fibertel.com.ar,www.delpasilloteatro.com.ar
Los Teatros de San Telmo,Cochabamba 370,,
El Bardo,Cochabamba 743,teatroelbardo@yahoo.com,www.elbardoteatro.com.ar
Uraniagiesso,Cochabamba 360,,http://www.uraniagiesso.com.ar
Kike Free,Cochabamba 3573,,
Centro Arzuano Mellidense - Cam -,Cochabamba 3245,,
Alta,Ciudad de La Paz 1972,informes@upebe.com.ar; teatro@upebe.com.ar,
Delborde Espacio Teatral,Chile 630,info@del borde.com.ar,www.delborde.com.ar
Centro de Estudios Artisticos,Chile 1830,info@ceateatro.com.ar,
El Sotano de Gardone,Chile 802,,
Margarita Xirgu,Chacabuco 875,info@margaritaxirgu.com,www.margaritaxirgu.com
Del Plata,Cerrito 228,,
Colon,Cerrito 618,,www.teatrocolon.org.ar
Teatro Metro,Cerrito 570,,
Git,Castro Barros 1046,,
Castillo Tomado,Castillo 1485,,
Grupo de Teatro Comunitario Pompapetriyazos de Parque Patricios,Caseros 1400,agustinaruizbarrera@yahoo.com.ar,
Centro Cultural Horus,Carlos Calvo Y Tacuari,,
Centro Cultural El Duende,Carlos Calvo 3740,elduende@arnet.com.ar,
Carlos Parrilla,Campos Salles 2145,teatro@upb.com.ar; upb@fibertel.com.ar,
Del Viejo Palermo,Cabrera 5567,teatrodelviejopalermo@hotmail.com,
La Fuga Cabrera,Cabrera 4871,veronese@fibertel.com.ar,www.fugacabrera.com
Auditorio Cendas,Bulnes 1350,info@cendas.com.ar; teatrocendas@yahoo.com.ar,www.cendas.com.ar
Ift,Boulogne Sur Mer 547,info@teatroift.org.ar; hectorcesam@fullzero.com.ar,www.teatroift.org.ar
Luna Park,Bouchard Y Corrientes,info@lunapark.com.ar,www.lunapark.com.ar
Centro Cultural El Tunel,Bonpland 2050,info@cceltunel.com.ar,http://www.cceltunel.com.ar/
Centro de Artes Artistas Argentinos Asociados,Bolivar 920,artistasargentinosasoc@yahoo.com.ar,
La Manufactura Papelera,Bolivar 1582,,www.manufacturapapelera.com.ar
Centro Montserrat,Bernardo de Irigoyen 112,,
Cine Teatro San Pedro,Bermudez 2052,,http://www.cineteatrosanpedro.blogspot.com/
Carlos Carella,Bartolome Mitre 970,seccultura@comnet.com.ar,
Pequeño Teatro,Bartolome Mitre 1259,,http://www.pequenoteatro.com.ar
Eternity Club,Bartolome Mitre 3514,,
Teatro Mario Soffici,Bartolome Mitre 1149,,
Sala 420,Balcarce 999,rmonreal@infovia.com.ar; carlager@ciudad.com.ar,
La Carbonera,Balcarce 998,tocarioplatense@hotmail.com,
Escuela Central,Balcarce 1096,,
Moliere Cafe Concert,Balcarce 678,,
La Trastienda,Balcarce 460,,http://www.latrastienda.com
Templum,Ayacucho 318,marutemplum@hotmail.com,
Elkafka Espacio Teatral,Ayacucho 185,rusz@speedy.com.ar,www.elkafkaespacioteatral.blogspot.com
"Grupo de La Boca 3,80 Y Crece",Avenida Almirante Brown 736,bochipablo@speedy.com.ar / andysalvemini@yahoo.com.ar,
El Recoveco,Av.Corrientes 1630,,www.teatroelrecoveco.com.ar
Costanza Maral,Av.Cordoba 2429,,
25 de Mayo,Av. Triunvirato 4444,,www.teatro25demayo.gov.ar
Sarmiento,Av. Sarmiento 2751,,www.teatrosanmartin.com.ar
El Teatron,Av. Santa Fe 2450,colonial@colonialteatro.com.ar,
Regina / Tsu,Av. Santa Fe 1235,,
Centro Cultural Agronomia,Av. San Martin 4453,,
Teatro del Pueblo -Fundacion Carlos Somigliana,Av. Roque Saenz Peña 943,info@teatrodelpueblo.org.ar,www.teatrodelpueblo.org.ar
El Anexo,Av. Rivadavia 878,,
Liceo,Av. Rivadavia 1495/97/99,redaccion@multiteatro.com.ar,www.multiteatro.com.ar
Club Italiano,Av. Rivadavia 4731,,www.clubitaliano.com.ar
De La Ribera,Av. Pedro de Mendoza 1821,,www.teatrosanmartin.com.ar
Colonial,Av. Paseo Colon 413,colonial@tournet.com.ar,www.teatrocolonial.com
Club del Actor,Av. Juan B. Justo 2960,clubdelactor@hotmail.com,
Museo Sivori,Av. Isabel Infanta 555,info@museosivori.org,http://www.museosivori.org.ar/espectaculos.htm
Circuito Cultural Barracas,Av. Iriarte 2163/5,lucaslandracas@hotmail.com,www.ccbarracas.com.ar
El Quijote,Av. Independencia 4053,teatroelquijote@hotmail.com,
Estudio Roberto Saiz,Av. de Mayo 1430,brunomaccari@hotmail.com,
La Clac,Av. de Mayo 1156,laclac@hotmail.com; adolfoyanelli@hotmail.com,www.laclac.com.ar
Avenida,Av. de Mayo 1222,,
El Nacional,Av. Corrientes 950,info@romayproducciones.com,www.romayproducciones.com
Opera,Av. Corrientes 860,info@t4f.com.ar,www.t4f.com.ar
Gran Rex,Av. Corrientes 857,,
Tabaris Y Petit Tabaris,Av. Corrientes 831,redaccion@multiteatro.com.ar,www.multiteatro.com.ar
Astros,Av. Corrientes 746,drbcastell@hotmail.com,
La Fabrica,Av. Corrientes 6131,,
Corriente Azul,Av. Corrientes 5965,hugoalvarez96@speedy.com.ar,
La Ratonera,Av. Corrientes 5552,FERNDANDOCIPOLL@HOTMAIL.COM,www.laratonera.com.ar
El Farabute,Av. Corrientes 5534,teatro@elfarabute.com.ar,www.elfarabute.com.ar
Actor'S Studio,Av. Corrientes 3565,actors@actors-studio.org,www.actors-studio.org
Club Teatral I.A.O.,Av. Corrientes 3559,actors@actors-studio.org,
Centro Cultural Ricardo Rojas,Av. Corrientes 2038,,
De La Casona de Beatriz Urtubey,Av. Corrientes 1975,,
La Plaza,Av. Corrientes 1660,jonathan@paseolaplaza.com.ar,www.paseolaplaza.com.ar
Pte Alvear,Av. Corrientes 1659,,www.teatrosanmartin.com.ar
Astral,Av. Corrientes 1639,ricardogallo@teatroastral.com.ar,www.teatroastral.com.ar
Bajo Corrientes,Av. Corrientes 1632,,
Belisario,Av. Corrientes 1624,info@marcelosavignone.com,
Premier I Y Ii,Av. Corrientes 1565,,
Liberarte,Av. Corrientes 1555,liberbodcul@rcc.com.ar,
Del Nudo,Av. Corrientes 1551,homero@interar.com.ar,
Centro Cultural de La Cooperacion,Av. Corrientes 1543,secretaria@imfc.coop; arte@cculturalcoop.org.ar,
San Martin,Av. Corrientes 1530,,www.teatrosanmartin.com.ar
Picadilly,Av. Corrientes 1524,,
Lorange,Av. Corrientes 1372,info@teatroapolo.com.ar,www.teatroapolo.com.ar
Multiteatro,Av. Corrientes 1283/85,redaccion@multiteatro.com.ar,www.multiteatro.com.ar
Lola Membrives,Av. Corrientes 1280,teatrocomico@tcomico.com.ar,www.lolamembrivesteatro.com.ar
Broadway 2,Av. Corrientes 1155,,
Castorera,Av. Cordoba 6237,,
Regio,Av. Cordoba 6056,,www.teatrosanmartin.com.ar
Nacional Cervantes,Av. Cordoba 1155,,www.teatrocervantes.gov.ar
Jardin Japones,Av. Casares Y Av. F. Alcorta,informes@jardinjapones.org.ar,/www.jardinjapones.org.ar
Hotel Bauen,Av. Callao 360,,
Casa de La Provincia de Buenos Aires,Av. Callao 237,,
Centro Creativo Cabildo,Av. Cabildo 4740,teatroterapia@ciudad.com.ar,
Boedo Vida Y Arte,Av. Boedo 876,vidayarte@ssdnet.com.ar; vidayarte@hotmail.com,
Boedo Xxi,Av. Boedo 853,boedo21@hotmail.com,www.boedoweb.com.ar
Del Barrio,Av. Boedo 1759,v_lago2002@hotmail.com,
Timbre Cuatro 4,Av. Boedo 640,fabiverli@hotmail.com,www.timbre4.com
El Galpon de Catalinas,Av. Benito Perez Galdos 93,grupodeteatro@catalinasur.com.ar,www.catalinasur.com.ar
Centro Cultural Adan Buenos Ayres,Av. Asamblea 1200,,
Cine Teatro Brown,Av. Almirante Brown 1375,rubiogustavoricardo@hotmail.co,
Centro Cultural Marco del Pont,Artigas 202,ccmarcodelpont@buenosaires.gov.ar,http://centroculturalmarcodelpont.blogspot.com/
El Crisol,Arismendi 2658,crisolteatro@yahoo.com,www.crisol.org.ar
El Doble,Araoz 727,eldobleteatro@datafull.com,
El Quijote,Araoz 176,,
Colectivo,Alvarez Jonte 1757,lagringa@arnet.com.ar,
Teatro Jose Verdi,Almirante Brown 736,,http://www.ojoobrero.org
Universidad Catolica Argentina - Uca,Alicia Moreau de Justo 1300,,http://www.uca.edu.ar/index.php/home/index/es
Espacio Aguirre,Aguirre 1270,espacioaguirre@tutopia.com,
De La Fabula,Agüero 444,delafabula@hotmail.com,www.teatrodelafabula.blogspot.com
Centro Cultural Raices,Agrelo 3045,,
Arlequino,Adolfo Alsina 1484,centroarlequino@infovia.com.ar,
Espacio Urbano,Acevedo 460/62,intervalo@ined.net.ar,
El Arbol,14 de Julio 1261,teatroelarbol@yahoo.com.ar,
